=== PHASE A: Spawning child, writing pattern, sustained hold ===
HOLD 2026-07-30T05:42:19.806905 966, 247.14, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:19.951019 966, 247.15, 0
4, 195.71, 0
HOLD 2026-07-30T05:42:20.096970 966, 247.17, 0
4, 195.70, 0
HOLD 2026-07-30T05:42:20.240053 966, 247.18, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:20.521189 966, 247.20, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:20.664117 966, 247.22, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:20.811292 966, 247.28, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:21.078030 966, 247.28, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:21.217979 966, 247.24, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:21.649489 966, 247.26, 0
4, 195.50, 0
HOLD 2026-07-30T05:42:21.925327 966, 247.18, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:22.091806 966, 247.24, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:22.241232 966, 247.26, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:22.380731 966, 247.28, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:22.525882 966, 247.33, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:22.665136 966, 247.19, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:22.937096 966, 247.23, 0
4, 195.52, 0
HOLD 2026-07-30T05:42:23.080302 966, 247.20, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:23.350613 966, 247.12, 0
4, 195.55, 0
HOLD 2026-07-30T05:42:23.498054 966, 247.07, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:23.639979 966, 247.14, 0
4, 195.50, 0
HOLD 2026-07-30T05:42:23.945779 966, 247.12, 0
4, 195.52, 0
HOLD 2026-07-30T05:42:24.108613 966, 247.11, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:24.250223 966, 247.14, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:24.397636 966, 247.20, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:24.688852 966, 247.19, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:24.840832 966, 247.19, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:24.982820 966, 247.21, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:25.122352 966, 247.20, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:25.263551 966, 247.14, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:25.543875 966, 247.12, 0
4, 195.55, 0
HOLD 2026-07-30T05:42:25.867556 966, 247.09, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:26.014886 966, 247.03, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:26.315460 966, 247.05, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:26.459980 966, 247.06, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:26.791345 966, 247.15, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:27.150300 966, 247.20, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:27.295668 966, 247.17, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:27.594406 966, 247.16, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:27.736741 966, 247.11, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:28.225320 966, 247.04, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:28.368688 966, 247.04, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:28.513768 966, 247.08, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:28.780587 966, 247.10, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:28.925551 966, 247.15, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:29.217381 966, 247.16, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:29.382873 966, 247.20, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:29.614087 966, 247.20, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:29.758411 966, 247.15, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:30.243976 966, 247.16, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:30.584046 966, 247.14, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:30.733099 966, 247.15, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:31.064922 966, 247.20, 0
4, 195.71, 0
HOLD 2026-07-30T05:42:31.406164 966, 247.16, 0
4, 195.72, 0
HOLD 2026-07-30T05:42:31.553295 966, 247.13, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:31.844833 966, 247.17, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:32.123986 966, 247.20, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:32.489281 966, 247.25, 0
4, 195.52, 0
HOLD 2026-07-30T05:42:32.659978 966, 247.22, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:32.944932 966, 247.19, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:33.086195 966, 247.18, 0
4, 195.50, 0
HOLD 2026-07-30T05:42:33.378951 966, 247.17, 0
4, 195.56, 0
HOLD 2026-07-30T05:42:33.711400 966, 247.18, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:34.038078 966, 247.15, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:34.181447 966, 247.15, 0
4, 195.67, 0
HOLD 2026-07-30T05:42:34.529040 966, 247.15, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:34.847957 966, 247.16, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:34.998682 966, 247.15, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:35.498071 966, 247.17, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:35.646620 966, 247.07, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:36.158101 966, 247.08, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:36.309932 966, 247.10, 0
4, 195.69, 0
HOLD 2026-07-30T05:42:36.455393 966, 247.11, 0
4, 195.72, 0
HOLD 2026-07-30T05:42:36.810924 966, 247.12, 0
4, 195.69, 0
HOLD 2026-07-30T05:42:36.952620 966, 247.20, 0
4, 195.70, 0
HOLD 2026-07-30T05:42:37.098194 966, 247.23, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:37.404328 966, 247.13, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:37.766766 966, 247.20, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:37.933404 966, 247.20, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:38.245642 966, 247.32, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:38.519083 966, 247.33, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:38.663193 966, 247.37, 0
4, 195.50, 0
HOLD 2026-07-30T05:42:38.941371 966, 247.36, 0
4, 195.48, 0
HOLD 2026-07-30T05:42:39.082008 966, 247.38, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:39.225864 966, 247.35, 0
4, 195.45, 0
HOLD 2026-07-30T05:42:39.368096 966, 247.33, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:39.514594 966, 247.28, 0
4, 195.48, 0
HOLD 2026-07-30T05:42:39.782100 966, 247.32, 0
4, 195.44, 0
HOLD 2026-07-30T05:42:39.927479 966, 247.28, 0
4, 195.45, 0
HOLD 2026-07-30T05:42:40.176534 966, 247.24, 0
4, 195.52, 0
HOLD 2026-07-30T05:42:40.449299 966, 247.28, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:40.603799 966, 247.31, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:40.753106 966, 247.20, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:41.110438 966, 247.16, 0
4, 195.48, 0
HOLD 2026-07-30T05:42:41.256549 966, 247.18, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:41.407943 966, 247.15, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:41.725155 966, 247.23, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:41.879484 966, 247.32, 0
4, 195.55, 0
HOLD 2026-07-30T05:42:42.117983 966, 247.35, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:42.261563 966, 247.36, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:42.409534 966, 247.38, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:42.554243 966, 247.33, 0
4, 195.49, 0
HOLD 2026-07-30T05:42:42.877192 966, 247.32, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:43.023153 966, 247.26, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:43.317627 966, 247.23, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:43.460091 966, 247.24, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:43.611959 966, 247.25, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:43.755301 966, 247.24, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:44.005825 966, 247.25, 0
4, 195.55, 0
HOLD 2026-07-30T05:42:44.156059 966, 247.24, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:44.306064 966, 247.28, 0
4, 195.55, 0
HOLD 2026-07-30T05:42:44.621982 966, 247.21, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:44.763394 966, 247.19, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:45.062438 966, 247.19, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:45.228535 966, 247.22, 0
4, 195.52, 0
HOLD 2026-07-30T05:42:45.369839 966, 247.19, 0
4, 195.51, 0
HOLD 2026-07-30T05:42:45.517207 966, 247.20, 0
4, 195.53, 0
HOLD 2026-07-30T05:42:45.657871 966, 247.24, 0
4, 195.54, 0
HOLD 2026-07-30T05:42:45.807851 966, 247.26, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:45.954769 966, 247.25, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:46.098875 966, 247.20, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:46.251743 966, 247.21, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:46.519761 966, 247.21, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:46.661108 966, 247.22, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:46.812802 966, 247.22, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:46.958634 966, 247.26, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:47.109196 966, 247.23, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:47.252709 966, 247.24, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:47.400823 966, 247.23, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:47.550696 966, 247.23, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:47.691184 966, 247.18, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:47.965281 966, 247.19, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:48.235670 966, 247.20, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:48.579473 966, 247.23, 0
4, 195.67, 0
HOLD 2026-07-30T05:42:48.726637 966, 247.12, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:49.056746 966, 247.10, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:49.207560 966, 247.06, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:49.355416 966, 247.09, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:49.503159 966, 247.07, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:49.784694 966, 247.09, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:49.928680 966, 247.23, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:50.219644 966, 247.19, 0
4, 195.69, 0
HOLD 2026-07-30T05:42:50.539343 966, 247.21, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:50.687695 966, 247.25, 0
4, 195.69, 0
HOLD 2026-07-30T05:42:50.831032 966, 247.23, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:50.973057 966, 247.18, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:51.272486 966, 247.21, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:51.419959 966, 247.16, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:51.777716 966, 247.14, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:51.922962 966, 247.14, 0
4, 195.57, 0
HOLD 2026-07-30T05:42:52.061924 966, 247.23, 0
4, 195.58, 0
HOLD 2026-07-30T05:42:52.337665 966, 247.24, 0
4, 195.62, 0
HOLD 2026-07-30T05:42:52.481907 966, 247.24, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:52.624419 966, 247.20, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:52.903906 966, 247.19, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:53.223231 966, 247.15, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:53.366430 966, 247.16, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:53.710459 966, 247.19, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:53.856120 966, 247.18, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:54.140420 966, 247.19, 0
4, 195.66, 0
HOLD 2026-07-30T05:42:54.417223 966, 247.19, 0
4, 195.67, 0
HOLD 2026-07-30T05:42:54.560503 966, 247.18, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:54.884360 966, 247.21, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:55.161521 966, 247.18, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:55.312240 966, 247.18, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:55.457002 966, 247.12, 0
4, 195.67, 0
HOLD 2026-07-30T05:42:55.743064 966, 247.14, 0
4, 195.68, 0
HOLD 2026-07-30T05:42:55.911827 966, 247.13, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:56.143514 966, 247.12, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:56.504692 966, 247.11, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:56.785197 966, 247.05, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:57.141993 966, 247.13, 0
4, 195.64, 0
HOLD 2026-07-30T05:42:57.484824 966, 247.12, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:57.841619 966, 247.15, 0
4, 195.61, 0
HOLD 2026-07-30T05:42:57.983219 966, 247.23, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:58.125423 966, 247.18, 0
4, 195.59, 0
HOLD 2026-07-30T05:42:58.448892 966, 247.21, 0
4, 195.60, 0
HOLD 2026-07-30T05:42:58.731103 966, 247.26, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:58.879025 966, 247.26, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:59.144434 966, 247.26, 0
4, 195.63, 0
HOLD 2026-07-30T05:42:59.443932 966, 247.23, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:59.719114 966, 247.20, 0
4, 195.65, 0
HOLD 2026-07-30T05:42:59.994470 966, 247.20, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:00.353566 966, 247.16, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:00.631528 966, 247.18, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:00.959782 966, 247.19, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:01.324043 966, 247.20, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:01.683911 966, 247.19, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:01.828754 966, 247.18, 0
4, 195.61, 0
HOLD 2026-07-30T05:43:02.151896 966, 247.18, 0
4, 195.55, 0
HOLD 2026-07-30T05:43:02.296888 966, 247.18, 0
4, 195.58, 0
HOLD 2026-07-30T05:43:02.580513 966, 247.24, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:02.858987 966, 247.22, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:03.161716 966, 247.20, 0
4, 195.61, 0
HOLD 2026-07-30T05:43:03.323723 966, 247.19, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:03.826099 966, 247.26, 0
4, 195.69, 0
HOLD 2026-07-30T05:43:04.155382 966, 247.27, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:04.433420 966, 247.26, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:04.598671 966, 247.20, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:05.083979 966, 247.14, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:05.419117 966, 247.14, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:05.576473 966, 247.09, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:05.845542 966, 247.11, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:06.112202 966, 247.11, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:06.452924 966, 247.14, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:06.817746 966, 247.19, 0
4, 195.58, 0
HOLD 2026-07-30T05:43:07.122722 966, 247.16, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:07.406800 966, 247.12, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:07.557196 966, 247.11, 0
4, 195.55, 0
HOLD 2026-07-30T05:43:07.914613 966, 247.15, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:08.194977 966, 247.16, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:08.520215 966, 247.19, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:08.830364 966, 247.16, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:09.110703 966, 247.19, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:09.471401 966, 247.20, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:09.626198 966, 247.18, 0
4, 195.58, 0
HOLD 2026-07-30T05:43:09.769220 966, 247.16, 0
4, 195.58, 0
HOLD 2026-07-30T05:43:10.022024 966, 247.07, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:10.308857 966, 247.01, 0
4, 195.51, 0
HOLD 2026-07-30T05:43:10.627457 966, 247.01, 0
4, 195.51, 0
HOLD 2026-07-30T05:43:10.786392 966, 247.10, 0
4, 195.45, 0
HOLD 2026-07-30T05:43:11.118729 966, 247.18, 0
4, 195.43, 0
HOLD 2026-07-30T05:43:11.394145 966, 247.18, 0
4, 195.44, 0
HOLD 2026-07-30T05:43:11.539826 966, 247.18, 0
4, 195.52, 0
HOLD 2026-07-30T05:43:11.899328 966, 247.21, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:12.238248 966, 247.19, 0
4, 195.63, 0
HOLD 2026-07-30T05:43:12.572848 966, 247.18, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:12.725349 966, 247.21, 0
4, 195.59, 0
HOLD 2026-07-30T05:43:12.868447 966, 247.16, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:13.019192 966, 247.16, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:13.323761 966, 247.11, 0
4, 195.63, 0
HOLD 2026-07-30T05:43:13.653352 966, 247.12, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:13.806337 966, 247.07, 0
4, 195.72, 0
HOLD 2026-07-30T05:43:14.076640 966, 247.09, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:14.223006 966, 247.03, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:14.509650 966, 247.04, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:14.673423 966, 246.96, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:14.971991 966, 246.94, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:15.121080 966, 246.98, 0
4, 195.69, 0
HOLD 2026-07-30T05:43:15.426482 966, 247.00, 0
4, 195.73, 0
HOLD 2026-07-30T05:43:15.751598 966, 247.01, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:15.906093 966, 247.06, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:16.051102 966, 247.07, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:16.196822 966, 247.07, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:16.340224 966, 247.09, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:16.618405 966, 247.11, 0
4, 195.63, 0
HOLD 2026-07-30T05:43:16.761407 966, 247.18, 0
4, 195.63, 0
HOLD 2026-07-30T05:43:17.237995 966, 247.15, 0
4, 195.59, 0
HOLD 2026-07-30T05:43:17.380502 966, 247.18, 0
4, 195.51, 0
HOLD 2026-07-30T05:43:17.711500 966, 247.14, 0
4, 195.63, 0
HOLD 2026-07-30T05:43:18.010296 966, 247.11, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:18.156327 966, 247.12, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:18.645029 966, 247.07, 0
4, 195.73, 0
HOLD 2026-07-30T05:43:18.925309 966, 247.06, 0
4, 195.73, 0
HOLD 2026-07-30T05:43:19.076019 966, 247.06, 0
4, 195.75, 0
HOLD 2026-07-30T05:43:19.222300 966, 247.06, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:19.474603 966, 247.06, 0
4, 195.74, 0
HOLD 2026-07-30T05:43:19.826660 966, 247.10, 0
4, 195.72, 0
HOLD 2026-07-30T05:43:19.971198 966, 247.11, 0
4, 195.72, 0
HOLD 2026-07-30T05:43:20.119081 966, 247.17, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:20.420324 966, 247.12, 0
4, 195.72, 0
HOLD 2026-07-30T05:43:20.568649 966, 247.20, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:20.843271 966, 247.12, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:21.209824 966, 247.16, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:21.523877 966, 247.14, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:21.859225 966, 247.15, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:22.369835 966, 247.18, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:22.531487 966, 247.13, 0
4, 195.68, 0
HOLD 2026-07-30T05:43:22.683568 966, 247.10, 0
4, 195.72, 0
HOLD 2026-07-30T05:43:22.989090 966, 247.09, 0
4, 195.75, 0
HOLD 2026-07-30T05:43:23.133821 966, 247.09, 0
4, 195.72, 0
HOLD 2026-07-30T05:43:23.276621 966, 247.11, 0
4, 195.73, 0
HOLD 2026-07-30T05:43:23.420610 966, 247.17, 0
4, 195.75, 0
HOLD 2026-07-30T05:43:23.952125 966, 247.23, 0
4, 195.75, 0
HOLD 2026-07-30T05:43:24.261572 966, 247.24, 0
4, 195.80, 0
HOLD 2026-07-30T05:43:24.582826 966, 247.25, 0
4, 195.76, 0
HOLD 2026-07-30T05:43:24.738072 966, 247.21, 0
4, 195.74, 0
HOLD 2026-07-30T05:43:24.885694 966, 247.17, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:25.201453 966, 247.07, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:25.564530 966, 247.11, 0
4, 195.63, 0
HOLD 2026-07-30T05:43:25.718277 966, 247.15, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:26.066197 966, 247.12, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:26.218554 966, 247.16, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:26.360467 966, 247.18, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:26.638083 966, 247.16, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:26.781869 966, 247.20, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:27.050123 966, 247.21, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:27.198506 966, 247.17, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:27.454321 966, 247.21, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:27.609129 966, 247.23, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:27.753616 966, 247.21, 0
4, 195.69, 0
HOLD 2026-07-30T05:43:27.903540 966, 247.17, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:28.052765 966, 247.18, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:28.207563 966, 247.18, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:28.356164 966, 247.14, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:28.505206 966, 247.10, 0
4, 195.69, 0
HOLD 2026-07-30T05:43:28.651508 966, 247.15, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:28.799798 966, 247.17, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:28.942143 966, 247.17, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:29.121438 966, 247.23, 0
4, 195.58, 0
HOLD 2026-07-30T05:43:29.418650 966, 247.22, 0
4, 195.57, 0
HOLD 2026-07-30T05:43:29.561908 966, 247.21, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:29.724343 966, 247.21, 0
4, 195.55, 0
HOLD 2026-07-30T05:43:29.880427 966, 247.24, 0
4, 195.57, 0
HOLD 2026-07-30T05:43:30.024391 966, 247.23, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:30.165648 966, 247.23, 0
4, 195.57, 0
HOLD 2026-07-30T05:43:30.334336 966, 247.23, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:30.476947 966, 247.26, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:30.621837 966, 247.16, 0
4, 195.68, 0
HOLD 2026-07-30T05:43:30.901054 966, 247.12, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:31.052731 966, 247.07, 0
4, 195.64, 0
HOLD 2026-07-30T05:43:31.334480 966, 247.10, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:31.480721 966, 247.12, 0
4, 195.60, 0
HOLD 2026-07-30T05:43:31.836143 966, 247.11, 0
4, 195.59, 0
HOLD 2026-07-30T05:43:31.981340 966, 247.15, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:32.125345 966, 247.17, 0
4, 195.65, 0
HOLD 2026-07-30T05:43:32.267564 966, 247.18, 0
4, 195.66, 0
HOLD 2026-07-30T05:43:32.414954 966, 247.16, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:32.558125 966, 247.16, 0
4, 195.75, 0
HOLD 2026-07-30T05:43:32.727188 966, 247.18, 0
4, 195.77, 0
HOLD 2026-07-30T05:43:32.869837 966, 247.20, 0
4, 195.78, 0
HOLD 2026-07-30T05:43:33.015673 966, 247.16, 0
4, 195.75, 0
HOLD 2026-07-30T05:43:33.155775 966, 247.16, 0
4, 195.80, 0
HOLD 2026-07-30T05:43:33.305860 966, 247.10, 0
4, 195.79, 0
HOLD 2026-07-30T05:43:33.453101 966, 247.13, 0
4, 195.67, 0
HOLD 2026-07-30T05:43:33.782757 966, 247.16, 0
4, 195.71, 0
HOLD 2026-07-30T05:43:33.926866 966, 247.14, 0
4, 195.70, 0
HOLD 2026-07-30T05:43:34.069939 966, 247.11, 0
4, 195.68, 0
HOLD 2026-07-30T05:43:34.219927 966, 247.15, 0
4, 195.62, 0
HOLD 2026-07-30T05:43:34.519512 966, 247.11, 0
4, 195.61, 0
HOLD 2026-07-30T05:43:34.664877 966, 247.12, 0
4, 195.61, 0
HOLD 2026-07-30T05:43:34.824025 966, 247.10, 0
4, 195.57, 0
HOLD 2026-07-30T05:43:34.970612 966, 247.10, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:35.125517 966, 247.20, 0
4, 195.55, 0
HOLD 2026-07-30T05:43:35.273041 966, 247.19, 0
4, 195.54, 0
HOLD 2026-07-30T05:43:35.421592 966, 247.21, 0
4, 195.52, 0
HOLD 2026-07-30T05:43:35.752389 966, 247.22, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:35.911447 966, 247.19, 0
4, 195.56, 0
HOLD 2026-07-30T05:43:36.056243 966, 247.12, 0
4, 195.53, 0
HOLD 2026-07-30T05:43:36.336585 966, 247.16, 0
4, 195.58, 0
HOLD 2026-07-30T05:43:36.483475 966, 247.16, 0
